id,title,description,publishTime,viewCount,likeCount,commentCount
TQHEJj68Jew,I Got Hunted By A Real Bounty Hunter,"Sign up for Current w/ my Creator Code ""BEAST"" and I'll send you $1 (or maybe $1k!!): http://www.current.com/MrBeast New ...",2021-04-24 20:00:00+00:00,84559207,2874122,128922.0
ayXxwJJId_c,"I Bought The World&#39;s Largest Mystery Box! ($500,000)",I cant believe I spent over $500000 on mystery boxes Add Honey for FREE ▸ http://joinhoney.com/mrbeast Thanks to Honey for ...,2021-04-03 20:00:01+00:00,101439191,3105269,162702.0
cExLQ1o2pDw,"First To Rob Bank Wins $100,000",I didnt think he would actually rob the bank... Sign up for Current and use my code “BEASTBANK” to get $1. Request $$ from me ...,2021-09-26 20:00:06+00:00,49468692,2349107,120482.0
GLoeAJUcz38,"Press This Button To Win $100,000!","Push the red subscribe button and you could also win $100000! (Seriously, we always fly subscribers down lol) New Merch ...",2020-11-14 21:00:02+00:00,145013747,2755664,83719.0
nM89Wl03Q4g,I Survived 50 Hours In A Maximum Security Prison,I can't believe this prison let me do this lol New Merch - https://shopmrbeast.com/ Chandler Karl and Chris couldnt make it to this ...,2021-06-26 20:00:02+00:00,78945852,2206865,94786.0
x9TQ6culXIA,"$1,000,000 Influencer Tournament!",That was so close at the end I can't believe that happened!,2021-12-16 21:00:00+00:00,30929257,2169506,78212.0
hxwpkM5w3Cc,I Got Hunted By The FBI,"You guys loved the bounty hunter video so we did it with the FBI, i hope you enjoy! Get $5 on Venmo just for adding Honey ...",2021-08-07 23:00:03+00:00,71742548,2553222,88944.0
9bqk6ZUsKyA,I Spent 50 Hours Buried Alive,This was the most insane thing I've ever done New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2021-03-27 20:00:04+00:00,153924447,5370928,233507.0
QbJJwaVdgIs,I Got Hunted By The Military,"I'm not sure how they drove over that... it wasnt supposed to happen Sign up using code ""BEASTHUNT"" with current!",2021-12-10 21:30:02+00:00,42172485,2391038,89753.0
vp5sSqyZ5Go,I Filled My Brother’s House With Slime &amp; Bought Him A New One,I did not expect that to happen..... DOWNLOAD & PLAY HERE http://x.ea.com/65665 Apex Legends Season 6 includes the ...,2020-10-10 20:00:31+00:00,94846742,2608373,116246.0
HBMmK1c44sE,I Spent 24 Hours In A Doomsday Bunker,The bunker gets crazier as the video goes on! SUBSCRIBE OR YOU'LL HAVE BAD LUCK For more info on this bunker check out ...,2020-04-11 20:00:00+00:00,102634036,2077593,77819.0
